did,tsne_x,tsne_y
tensor(95),-16.233137,-59.92673
tensor(17),-54.117554,-0.41648117
tensor(6),-3.1898234,-14.574357
tensor(72),0.16274635,40.864857
tensor(16),33.195034,11.501811
tensor(83),-1.5925089,-20.203947
tensor(62),16.845558,6.4064813
tensor(97),3.7769883,47.343437
tensor(72),0.20887035,16.96418
tensor(95),-46.258263,-36.57932
tensor(3),6.4287663,-35.665764
tensor(12),-44.86356,0.58611083
tensor(73),-8.428367,48.216755
tensor(71),43.11047,-9.950061
tensor(7),-34.870895,-15.569404
tensor(73),-14.7966385,25.316408
tensor(1),-37.126213,-29.620802
tensor(5),23.983889,-16.388554
tensor(67),62.23302,-26.62664
tensor(91),8.064718,-59.712837
tensor(95),-10.522171,-66.62474
tensor(65),-29.294659,2.358281
tensor(87),10.05744,6.780824
tensor(0),-42.20465,-29.828087
tensor(19),16.514948,54.447495
tensor(6),36.404232,10.273721
tensor(15),6.264351,-36.3624
tensor(66),18.06857,32.10548
tensor(96),-62.336426,-10.656592
tensor(72),-2.7625933,32.29534
tensor(4),-20.633167,28.256979
tensor(19),20.43755,53.826912
tensor(62),28.432663,52.859287
tensor(5),25.831644,-8.977254
tensor(94),-4.2775273,-11.251165
tensor(23),-44.385483,-36.54203
tensor(90),20.47171,19.986357
tensor(4),-20.983444,29.796135
tensor(23),-32.05789,42.62925
tensor(17),-54.37071,0.7003826
tensor(7),-15.923961,44.520058
tensor(18),58.004047,27.246662
tensor(6),40.06651,12.711853
tensor(96),-63.134266,-8.755501
tensor(19),18.36404,6.891927
tensor(87),0.43237007,5.419538
tensor(64),-44.96814,7.6773787
tensor(75),-30.89329,16.438816
tensor(23),-24.811745,6.2573156
tensor(37),61.56909,24.91871
tensor(23),-22.047028,-13.5155325
tensor(9),69.859024,-0.4369669
tensor(16),4.3699517,-10.432579
tensor(37),62.06393,16.489975
tensor(4),-20.587852,27.224482
tensor(23),-34.80558,36.874714
tensor(1),2.4320688,27.787771
