,t,POT_LEFT,fo,Al,Bl,Cl,As,Bs,Cs,cleq,cseq,L1o,L2o,ko,Noise,did
t,1.0,-0.09949952695177258,-0.46877558544515896,-0.18565072513490363,0.15406565581322107,-0.009162567092844133,-0.044439016940670116,-0.29182245731467676,-0.036715168297957256,-0.01582795012480643,-0.07209918348163846,-0.014972563514270466,0.17638006650565585,0.0777640888770555,-0.022337963838832447,-0.09232107852536725
POT_LEFT,-0.09949952695177258,0.9999999999999998,-0.06578688616648655,0.18309433294712366,0.4322135985493859,0.015312902276329914,0.08511689836600726,-0.16998211260691548,-0.26059066592759966,-0.29176884139097714,0.15563943113659914,-0.2873314927214245,0.0038786833299739526,-0.37189451754103475,0.29420406802716703,-0.23049229045486694
fo,-0.4687755854451589,-0.06578688616648655,1.0,-0.26909424962833367,-0.04258396555183889,0.24783628361776183,0.06682449107723765,0.22694317909390552,-0.0724163154599419,-0.12741650950767242,0.1647421292712788,-0.014493016785970881,-0.2178753072590776,0.04869887743886584,-0.14566092564183655,0.24761447433519979
Al,-0.18565072513490366,0.18309433294712366,-0.26909424962833367,1.0,0.00872737768489732,-0.4286469818067855,-0.2377856132743044,0.3381581158973596,0.18496880064516366,-0.029622032675376105,-0.02674600971996874,-0.15119964702460276,0.14461073685951478,-0.1512574206506774,-0.04433280152733846,-0.01541167435975449
Bl,0.15406565581322107,0.4322135985493859,-0.04258396555183888,0.00872737768489732,0.9999999999999998,-0.04564827524754421,-0.003075743643572255,-0.06507628837036884,-0.2871513596080714,-0.28744171635411536,0.0717005358069604,-0.11753561277356438,-0.08635041016563885,-0.09953331924820856,0.06575811595468224,-0.11435349634425748
Cl,-0.009162567092844132,0.015312902276329914,0.24783628361776183,-0.4286469818067855,-0.04564827524754421,1.0,0.15881366902068422,-0.08512565786816927,0.2772051163982779,0.05020302023042714,-0.017784895866366758,-0.03551059761790007,0.20590917616720972,0.28590842559282287,-0.08844624060851956,-0.15375587744530633
As,-0.044439016940670116,0.08511689836600726,0.06682449107723765,-0.23778561327430442,-0.003075743643572255,0.15881366902068422,0.9999999999999998,0.16085182731570014,-0.2915052699050005,-0.21146305307163366,-0.0702800001991522,0.14498498187630812,-0.21183435165572811,-0.24469558129261754,0.19399873850495017,-0.28001925499671915
Bs,-0.29182245731467676,-0.16998211260691548,0.22694317909390552,0.33815811589735956,-0.06507628837036886,-0.08512565786816927,0.16085182731570014,0.9999999999999998,0.19068161966818,-0.03127552076081258,-0.3196867240997692,0.007743206540467417,0.11644086135445356,-0.1850951180140695,0.04628912142430495,0.17202259467349032
Cs,-0.03671516829795726,-0.2605906659275997,-0.0724163154599419,0.1849688006451637,-0.2871513596080714,0.2772051163982779,-0.2915052699050005,0.19068161966818,1.0,0.29888470655440497,-0.2143360236605834,0.06293899831920921,0.17264510134093156,0.059503298546343564,-0.05280812512745219,0.0846227236766111
cleq,-0.01582795012480643,-0.29176884139097714,-0.12741650950767242,-0.029622032675376102,-0.28744171635411536,0.05020302023042714,-0.21146305307163366,-0.03127552076081258,0.29888470655440497,1.0,-0.02599364497646346,0.20244050332265806,-0.12395331592970917,0.30876439636092173,0.13726708916517213,0.16007417950493505
cseq,-0.07209918348163848,0.15563943113659914,0.1647421292712788,-0.02674600971996874,0.0717005358069604,-0.017784895866366755,-0.0702800001991522,-0.3196867240997692,-0.2143360236605834,-0.02599364497646346,0.9999999999999998,-0.02812201992147556,-0.30110740715644224,0.1862802796920673,-0.10735428743563796,-0.2638480701371983
L1o,-0.014972563514270466,-0.2873314927214245,-0.014493016785970883,-0.15119964702460276,-0.11753561277356439,-0.03551059761790006,0.14498498187630812,0.007743206540467417,0.06293899831920921,0.20244050332265806,-0.02812201992147556,1.0,-0.3189003982196592,0.14035687037746597,0.17904572366893978,0.1437513328400947
L2o,0.17638006650565585,0.0038786833299739526,-0.2178753072590776,0.14461073685951475,-0.08635041016563885,0.20590917616720972,-0.21183435165572811,0.11644086135445356,0.17264510134093156,-0.12395331592970915,-0.3011074071564422,-0.3189003982196592,1.0,0.06977052280716932,-0.2523352174567979,-0.0022527864568944907
ko,0.0777640888770555,-0.37189451754103475,0.04869887743886584,-0.15125742065067743,-0.09953331924820856,0.28590842559282287,-0.24469558129261756,-0.18509511801406947,0.05950329854634357,0.30876439636092173,0.1862802796920673,0.14035687037746597,0.0697705228071693,1.0,-0.13868218997203785,-0.10082059906038647
Noise,-0.022337963838832447,0.29420406802716703,-0.14566092564183653,-0.04433280152733847,0.06575811595468224,-0.08844624060851956,0.19399873850495017,0.04628912142430495,-0.05280812512745219,0.13726708916517213,-0.10735428743563796,0.17904572366893978,-0.2523352174567979,-0.13868218997203788,1.0,-0.05664207082893045
did,-0.09232107852536726,-0.23049229045486697,0.24761447433519979,-0.015411674359754494,-0.11435349634425748,-0.1537558774453063,-0.28001925499671915,0.17202259467349035,0.0846227236766111,0.16007417950493505,-0.2638480701371983,0.1437513328400947,-0.002252786456894491,-0.10082059906038647,-0.05664207082893044,0.9999999999999998
