sigma,cand_num,run_id,ss_len,ss_mean,ss_var,ss_min,ss_max,cs_len,cs_mean,cs_var,cs_min,cs_max
0.01,16,0,101,5.491959866627546,0.009313596479136209,5.389506726076742,5.650542787374841,101,0.10457920792079207,8.864077414342032e-09,0.10416666666666667,0.10460069444444445
0.01,16,1,101,5.545426532718971,0.0030771174415468276,5.4820279840826585,5.7665129068323395,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,16,2,22,5.518690200736953,0.0031486243849762133,5.4820279840826585,5.683367160681007,22,0.10458096590909093,8.173517251109524e-09,0.10416666666666667,0.10460069444444445
0.01,16,3,89,5.571486640206457,0.0014285054661530535,5.536704195454691,5.646378730514002,89,0.10454705056179774,2.0405269031103297e-08,0.10416666666666667,0.10460069444444445
0.01,16,4,17,5.519668135912488,0.0022402919572447823,5.4820279840826585,5.650542787374841,17,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,16,5,12,5.57519584332259,0.0006843112936473729,5.535913252917977,5.615321376677732,12,0.10441984953703703,4.578683274927093e-08,0.10416666666666667,0.10460069444444445
0.01,16,6,28,5.543090468539748,0.0005728313238276508,5.536704195454691,5.650542787374841,28,0.10460069444444449,1.7333369499485123e-33,0.10460069444444445,0.10460069444444445
0.01,16,7,46,5.543398636780865,0.0032861716690931234,5.447155213125633,5.738532543204115,46,0.10460069444444446,1.925929944387236e-34,0.10460069444444445,0.10460069444444445
0.01,16,8,33,5.601425681085145,0.002386004616761684,5.4820279840826585,5.650542787374841,33,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,16,9,98,5.527789622864827,0.008196199355324904,5.389506726076742,5.719105933226177,98,0.10459183673469388,3.766033057213787e-09,0.10416666666666667,0.10460069444444445
0.01,32,0,62,4.76735980989925,0.06892519392911506,4.653426480866286,5.8189935460279365,62,0.10471270161290322,8.468283905653774e-08,0.10416666666666667,0.10546875
0.01,32,1,29,5.444374348954148,0.07653151904683173,4.653694650749324,5.763330375177182,29,0.10464559386973184,1.7471639389835608e-08,0.10460069444444445,0.10503472222222222
0.01,32,2,101,5.4323641036437795,0.0005843454495275321,5.304021017662722,5.493788076257139,101,0.1043213696369637,4.321237739491741e-08,0.10416666666666667,0.10460069444444445
0.01,32,3,101,5.497136188151208,0.0018813093217980076,5.447155213125633,5.649893172585793,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,32,4,94,5.367619751058057,0.0015141725822823593,5.304021017662722,5.493788076257139,94,0.10455452127659573,2.592465097887969e-08,0.10416666666666667,0.10503472222222222
0.01,32,5,101,5.525257473114174,0.0027398721299222743,5.4820279840826585,5.683367160681007,101,0.10458350522552254,7.165129243259808e-09,0.10416666666666667,0.10460069444444445
0.01,32,6,101,5.580702483819349,0.003909518653570004,5.503788076257139,5.763330375177182,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,32,7,101,5.36474737952336,0.0037471617669901716,5.304021017662722,5.557308680073984,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,32,8,101,5.453467397252476,0.0012533259850269,5.379506726076741,5.472027984082658,101,0.10416666666666664,7.703719777548943e-34,0.10416666666666667,0.10416666666666667
0.01,32,9,54,5.54936448112785,0.003204490971766977,5.4820279840826585,5.6933671606810075,54,0.10449620627572018,7.629523735716257e-08,0.10416666666666667,0.10503472222222222
0.01,64,0,101,5.404200389710123,0.002669401882115662,5.380488955140857,5.575673507674164,101,0.10459639713971398,1.8466827946545882e-09,0.10416666666666667,0.10460069444444445
0.01,64,1,101,5.390344892912215,0.002157796340857801,5.304021017662722,5.536704195454691,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,64,2,101,5.4957692182413895,0.000340056003143309,5.4820279840826585,5.550486668858465,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,64,3,101,5.500826898833281,0.007754000697711422,5.389506726076742,5.6933671606810075,101,0.10460069444444445,0.0,0.10460069444444445,0.10460069444444445
0.01,64,4,101,5.502452105327772,0.0013529048392645737,5.441266798863905,5.588825692028564,101,0.10436434268426845,4.672107470476112e-08,0.10416666666666667,0.10460069444444445
